Cars,mpg,cylinders,displacement,horsepower,acceleration,model-year
car 1 ,18,8,307,130,12,0
car 2,15,8,350,165,11.5,1
car 3,18,8,318,150,11,0
car 4,16,8,304,150,12,1
car 5,17,8,302,140,10.5,1
car 6,15,8,429,198,10,0
car 7,14,8,454,220,9,0
car 8,14,8,440,215,8.5,1
car 9,14,8,455,225,10,1
car 10,15,8,390,190,8.5,0
car 11,15,8,383,170,10,0
car 12,14,8,340,160,8,1
car 13,15,8,400,150,9.5,1
car 14,14,8,455,225,10,0
car 15,24,4,113,95,15,1
car 16,22,6,198,95,15.5,0
car 17,18,6,199,97,15.5,1
car 18,21,6,200,85,16,1
car 19,27,4,97,88,14.5,0
car 20,26,4,97,46,20.5,1
car 21,25,4,110,87,17.5,1
car 22,24,4,107,90,14.5,0
car 23,25,4,104,95,17.5,1
car 24,26,4,121,113,12.5,0
car 25,21,6,199,90,15,1
car 26,10,8,360,215,14,0
car 27,10,8,307,200,15,1
car 28,11,8,318,210,13.5,1
car 29,9,8,304,193,18.5,0
car 30,27,4,97,88,14.5,1
car 31,28,4,140,90,15.5,0
car 32,25,4,113,95,14,1
car 33,25,4,98,95,19,0
car 34,19,6,232,100,13,1
car 35,16,6,225,105,15.5,0
car 36,17,6,250,100,15.5,1
car 37,19,6,250,88,15.5,0
car 38,18,6,232,100,15.5,1
car 39,14,8,350,165,12,1
car 40,14,8,400,175,11.5,0
car 41,14,8,351,153,13.5,1
car 42,14,8,318,150,13,1
car 43,12,8,383,180,11.5,0
car 44,13,8,400,170,12,0
car 45,13,8,400,175,12,1
car 46,18,6,258,110,13.5,0
car 47,22,4,140,72,19,1
car 48,19,6,250,100,15,1
car 49,18,6,250,88,14.5,0
car 50,23,4,122,86,14,1
car 51,28,4,116,90,14,1
car 52,30,4,79,70,19.5,0
car 53,30,4,88,76,14.5,0
car 54,31,4,71,65,19,1
car 55,35,4,72,69,18,0
car 56,27,4,97,60,19,1
car 57,26,4,91,70,20.5,0
car 58,24,4,113,95,15.5,1
car 59,25,4,97.5,80,17,0
car 60,23,4,97,54,23.5,1
car 61,20,4,140,90,19.5,0
car 62,21,4,122,86,16.5,0
car 63,13,8,350,165,12,1
car 64,14,8,400,175,12,1
car 65,15,8,318,150,13.5,0
car 66,14,8,351,153,13,1
car 67,17,8,304,150,11.5,1
car 68,11,8,429,208,11,0
car 69,13,8,350,155,13.5,1
car 70,12,8,350,160,13.5,1
car 71,13,8,400,190,12.5,0
car 72,19,3,70,97,13.5,0
car 73,15,8,304,150,12.5,1
car 74,13,8,307,130,14,1
car 75,13,8,302,140,16,1
car 76,14,8,318,150,14,0
car 77,18,4,121,112,14.5,1
car 78,22,4,121,76,18,0
car 79,21,4,120,87,19.5,1
car 80,26,4,96,69,18,1
car 81,22,4,122,86,16,0
car 82,28,4,97,92,17,0
car 83,23,4,120,97,14.5,1
car 84,28,4,98,80,15,1
car 85,27,4,97,88,16.5,0
car 86,13,8,350,175,13,0
car 87,14,8,304,150,11.5,1
car 88,13,8,350,145,13,0
car 89,14,8,302,137,14.5,1
car 90,15,8,318,150,12.5,1
car 91,12,8,429,198,11.5,0
car 92,13,8,400,150,12,1
car 93,13,8,351,158,13,1
car 94,14,8,318,150,14.5,0
car 95,13,8,440,215,11,1
car 96,12,8,455,225,11,1
car 97,13,8,360,175,11,0
car 98,18,6,225,105,16.5,1
car 99,16,6,250,100,18,0
car 100,18,6,232,100,16,1
car 101,18,6,250,88,16.5,0
car 102,23,6,198,95,16,1
car 103,26,4,97,46,21,0
car 104,11,8,400,150,14,1
car 105,12,8,400,167,12.5,0
car 106,13,8,360,170,13,1
car 107,12,8,350,180,12.5,0
car 108,18,6,232,100,15,1
car 109,20,4,97,88,19,0
car 110,21,4,140,72,19.5,1
car 111,22,4,108,94,16.5,0
car 112,18,3,70,90,13.5,1
car 113,19,4,122,85,18.5,1
car 114,21,6,155,107,14,0
car 115,26,4,98,90,15.5,0
car 116,15,8,350,145,13,1
car 117,16,8,400,230,9.5,0
car 118,29,4,68,49,19.5,1
car 119,24,4,116,75,15.5,1
car 120,20,4,114,91,14,0
car 121,19,4,121,112,15.5,1
car 122,15,8,318,150,11,0
car 123,24,4,121,110,14,1
car 124,20,6,156,122,13.5,1
car 125,11,8,350,180,11,1
car 126,20,6,198,95,16.5,0
car 127,21,6,200,95,17,1
car 128,19,6,232,100,16,0
car 129,15,6,250,100,17,0
car 130,31,4,79,67,19,0
car 131,26,4,122,80,16.5,1
car 132,32,4,71,65,21,0
car 133,25,4,140,75,17,1
car 134,16,6,250,100,17,0
car 135,16,6,258,110,18,1
car 136,18,6,225,105,16.5,1
car 137,16,8,302,140,14,0
car 138,13,8,350,150,14.5,1
car 139,14,8,318,150,13.5,1
car 140,14,8,302,140,16,0
car 141,14,8,304,150,15.5,0
car 142,29,4,98,83,16.5,1
car 143,26,4,79,67,15.5,0
car 144,26,4,97,78,14.5,0
car 145,31,4,76,52,16.5,0
car 146,32,4,83,61,19,1
car 147,28,4,90,75,14.5,0
car 148,24,4,90,75,15.5,0
car 149,26,4,116,75,14,1
car 150,24,4,120,97,15,0
car 151,26,4,108,93,15.5,0
car 152,31,4,79,67,16,1
car 153,19,6,225,95,16,0
car 154,18,6,250,105,16,1
car 155,15,6,250,72,21,1
car 156,15,6,250,72,19.5,0
car 157,16,8,400,170,11.5,0
car 158,15,8,350,145,14,1
car 159,16,8,318,150,14.5,1
car 160,14,8,351,148,13.5,0
car 161,17,6,231,110,21,0
car 162,16,6,250,105,18.5,1
car 163,15,6,258,110,19,0
car 164,18,6,225,95,19,1
car 165,21,6,231,110,15,0
car 166,20,8,262,110,13.5,0
car 167,13,8,302,129,12,1
car 168,29,4,97,75,16,0
car 169,23,4,140,83,17,1
car 170,20,6,232,100,16,0
car 171,23,4,140,78,18.5,0
car 172,24,4,134,96,13.5,1
car 173,25,4,90,71,16.5,0
car 174,24,4,119,97,17,0
car 175,18,6,171,97,14.5,1
car 176,29,4,90,70,14,0
car 177,19,6,232,90,17,1
car 178,23,4,115,95,15,1
car 179,23,4,120,88,17,0
car 180,22,4,121,98,14.5,1
car 181,25,4,121,115,13.5,1
car 182,33,4,91,53,17.5,0
car 183,28,4,107,86,15.5,1
car 184,25,4,116,81,16.9,1
car 185,25,4,140,92,14.9,1
car 186,26,4,98,79,17.7,1
car 187,27,4,101,83,15.3,0
car 188,17.5,8,305,140,13,1
car 189,16,8,318,150,13,1
car 190,15.5,8,304,120,13.9,0
car 191,14.5,8,351,152,12.8,1
car 192,22,6,225,100,15.4,1
car 193,22,6,250,105,14.5,1
car 194,24,6,200,81,17.6,1
car 195,22.5,6,232,90,17.6,0
car 196,29,4,85,52,22.2,1
car 197,24.5,4,98,60,22.1,1
car 198,29,4,90,70,14.2,0
car 199,33,4,91,53,17.4,1
car 200,20,6,225,100,17.7,0
car 201,18,6,250,78,21,1
car 202,18.5,6,250,110,16.2,0
car 203,17.5,6,258,95,17.8,1
car 204,29.5,4,97,71,12.2,0
car 205,32,4,85,70,17,1
car 206,28,4,97,75,16.4,0
car 207,26.5,4,140,72,13.6,1
car 208,20,4,130,102,15.7,0
car 209,13,8,318,150,13.2,1
car 210,19,4,120,88,21.9,0
car 211,19,6,156,108,15.5,1
car 212,16.5,6,168,120,16.7,0
car 213,16.5,8,350,180,12.1,1
car 214,13,8,350,145,12,1
car 215,13,8,302,130,15,0
car 216,13,8,318,150,14,1
car 217,31.5,4,98,68,18.5,1
car 218,30,4,111,80,14.8,0
car 219,36,4,79,58,18.6,1
car 220,25.5,4,122,96,15.5,0
car 221,33.5,4,85,70,16.8,1
car 222,17.5,8,305,145,12.5,1
car 223,17,8,260,110,19,0
car 224,15.5,8,318,145,13.7,1
car 225,15,8,302,130,14.9,1
car 226,17.5,6,250,110,16.4,0
car 227,20.5,6,231,105,16.9,1
car 228,19,6,225,100,17.7,0
car 229,18.5,6,250,98,19,1
car 230,16,8,400,180,11.1,0
car 231,15.5,8,350,170,11.4,1
car 232,15.5,8,400,190,12.2,0
car 233,16,8,351,149,14.5,1
car 234,29,4,97,78,14.5,0
car 235,24.5,4,151,88,16,1
car 236,26,4,97,75,18.2,0
car 237,25.5,4,140,89,15.8,1
car 238,30.5,4,98,63,17,0
car 239,33.5,4,98,83,15.9,1
car 240,30,4,97,67,16.4,0
car 241,30.5,4,97,78,14.1,1
car 242,22,6,146,97,14.5,0
car 243,21.5,4,121,110,12.8,1
car 244,21.5,3,80,110,13.5,1
car 245,43.1,4,90,48,21.5,0
car 246,36.1,4,98,66,14.4,1
car 247,32.8,4,78,52,19.4,0
car 248,39.4,4,85,70,18.6,1
car 249,36.1,4,91,60,16.4,0
car 250,19.9,8,260,110,15.5,1
car 251,19.4,8,318,140,13.2,0
car 252,20.2,8,302,139,12.8,1
car 253,19.2,6,231,105,19.2,0
car 254,20.5,6,200,95,18.2,1
car 255,20.2,6,200,85,15.8,0
car 256,25.1,4,140,88,15.4,1
car 257,20.5,6,225,100,17.2,0
car 258,19.4,6,232,90,17.2,1
car 259,20.6,6,231,105,15.8,0
car 260,20.8,6,200,85,16.7,1
car 261,18.6,6,225,110,18.7,0
car 262,18.1,6,258,120,15.1,1
car 263,19.2,8,305,145,13.2,0
car 264,17.7,6,231,165,13.4,1
car 265,18.1,8,302,139,11.2,0
car 266,17.5,8,318,140,13.7,1
car 267,30,4,98,68,16.5,0
car 268,27.5,4,134,95,14.2,1
car 269,27.2,4,119,97,14.7,0
car 270,30.9,4,105,75,14.5,1
car 271,21.1,4,134,95,14.8,0
car 272,23.2,4,156,105,16.7,1
car 273,23.8,4,151,85,17.6,0
car 274,23.9,4,119,97,14.9,1
car 275,20.3,5,131,103,15.9,0
car 276,17,6,163,125,13.6,0
car 277,21.6,4,121,115,15.7,1
car 278,16.2,6,163,133,15.8,0
car 279,31.5,4,89,71,14.9,1
car 280,29.5,4,98,68,16.6,0
car 281,21.5,6,231,115,15.4,0
car 282,19.8,6,200,85,18.2,0
car 283,22.3,4,140,88,17.3,1
car 284,20.2,6,232,90,18.2,0
car 285,20.6,6,225,110,16.6,0
car 286,17,8,305,130,15.4,1
car 287,17.6,8,302,129,13.4,0
car 288,16.5,8,351,138,13.2,1
car 289,18.2,8,318,135,15.2,0
car 290,16.9,8,350,155,14.9,0
car 291,15.5,8,351,142,14.3,1
car 292,19.2,8,267,125,15,0
car 293,18.5,8,360,150,13,0
car 294,31.9,4,89,71,14,1
car 295,34.1,4,86,65,15.2,0
car 296,35.7,4,98,80,14.4,0
car 297,27.4,4,121,80,15,1
car 298,25.4,5,183,77,20.1,0
car 299,23,8,350,125,17.4,0
car 300,27.2,4,141,71,24.8,1
car 301,23.9,8,260,90,22.2,0
car 302,34.2,4,105,70,13.2,0
car 303,34.5,4,105,70,14.9,1
car 304,31.8,4,85,65,19.2,0
car 305,37.3,4,91,69,14.7,0
car 306,28.4,4,151,90,16,1
car 307,28.8,6,173,115,11.3,0
car 308,26.8,6,173,115,12.9,0
car 309,33.5,4,151,90,13.2,1
car 310,41.5,4,98,76,14.7,0
car 311,38.1,4,89,60,18.8,0
car 312,32.1,4,98,70,15.5,1
car 313,37.2,4,86,65,16.4,0
car 314,28,4,151,90,16.5,0
car 315,26.4,4,140,88,18.1,1
car 316,24.3,4,151,90,20.1,0
car 317,19.1,6,225,90,18.7,1
car 318,34.3,4,97,78,15.8,0
car 319,29.8,4,134,90,15.5,1
car 320,31.3,4,120,75,17.5,0
car 321,37,4,119,92,15,1
car 322,32.2,4,108,75,15.2,0
car 323,46.6,4,86,65,17.9,1
car 324,27.9,4,156,105,14.4,0
car 325,40.8,4,85,65,19.2,1
car 326,44.3,4,90,48,21.7,1
car 327,43.4,4,90,48,23.7,0
car 328,36.4,5,121,67,19.9,1
car 329,30,4,146,67,21.8,0
car 330,44.6,4,91,67,13.8,1
car 331,40.9,4,85,67,17.3,1
car 332,33.8,4,97,67,18,0
car 333,29.8,4,89,62,15.3,1
car 334,32.7,6,168,132,11.4,1
car 335,23.7,3,70,100,12.5,0
car 336,35,4,122,88,15.1,1
car 337,23.6,4,140,80,14.3,1
car 338,32.4,4,107,72,17,0
car 339,27.2,4,135,84,15.7,1
car 340,26.6,4,151,84,16.4,1
car 341,25.8,4,156,92,14.4,0
car 342,23.5,6,173,110,12.6,1
car 343,30,4,135,84,12.9,0
car 344,39.1,4,79,58,16.9,1
car 345,39,4,86,64,16.4,0
car 346,35.1,4,81,60,16.1,1
car 347,32.3,4,97,67,17.8,1
car 348,37,4,85,65,19.4,0
car 349,37.7,4,89,62,17.3,1
car 350,34.1,4,91,68,16,0
car 351,34.7,4,105,63,14.9,1
car 352,34.4,4,98,65,16.2,0
car 353,29.9,4,98,65,20.7,1
car 354,33,4,105,74,14.2,0
car 355,34.5,4,100,75,15.8,1
car 356,33.7,4,107,75,14.4,0
car 357,32.4,4,108,75,16.8,1
car 358,32.9,4,119,100,14.8,0
car 359,31.6,4,120,74,18.3,1
car 360,28.1,4,141,80,20.4,0
car 361,30.7,6,145,76,19.6,1
car 362,25.4,6,168,116,12.6,0
car 363,24.2,6,146,120,13.8,1
car 364,22.4,6,231,110,15.8,0
car 365,26.6,8,350,105,19,1
car 366,20.2,6,200,88,17.1,0
car 367,17.6,6,225,85,16.6,1
car 368,28,4,112,88,19.6,0
car 369,27,4,112,88,18.6,1
car 370,34,4,112,88,18,0
car 371,31,4,112,85,16.2,1
car 372,29,4,135,84,16,0
car 373,27,4,151,90,18,1
car 374,24,4,140,92,16.4,0
car 375,23,4,151,85,20.5,1
car 376,36,4,105,74,15.3,0
car 377,37,4,91,68,18.2,1
car 378,31,4,91,68,17.6,1
car 379,38,4,105,63,14.7,0
car 380,36,4,98,70,17.3,1
car 381,36,4,120,88,14.5,0
car 382,36,4,107,75,14.5,1
car 383,34,4,108,70,16.9,0
car 384,38,4,91,67,15,1
car 385,32,4,91,67,15.7,0
car 386,38,4,91,67,16.2,1
car 387,25,6,181,110,16.4,0
car 388,38,6,262,85,17,1
car 389,26,4,156,92,14.5,0
car 390,22,6,232,112,14.7,1
car 391,32,4,144,96,13.9,1
car 392,36,4,135,84,13,0
car 393,27,4,151,90,17.3,1
car 394,27,4,140,86,15.6,1
car 395,44,4,97,52,24.6,0
car 396,32,4,135,84,11.6,0
car 397,28,4,120,79,18.6,1
car 398,31,4,119,82,19.4,0
